country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,0.285,,,0.298,0.324,,0.43,0.517,,,0.246,0.258,,,,,,,,0.399,,,,,,,,,,,,,,,,,,,,,,,0.965,1.01,1.03,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,0.957,0.956,,0.936,0.927,,,0.95,0.92,0.907,0.89,0.917,0.978,0.903,0.986,0.975,0.978,1.01,0.989,1.02,
Algeria,,,0.528,0.547,0.58,0.637,0.704,0.734,0.762,0.752,0.733,0.784,0.776,0.801,0.854,1.01,0.82,0.832,0.839,0.867,0.85,0.824,0.857,0.853,0.839,0.846,0.871,0.859,,0.841,0.804,0.866,0.883,0.902,0.911,0.934,0.846,0.937,1.19,0.911,0.959,0.979,1.02,1.06,1.08,1.06,1.06,1.06,1.05,1.01,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438,0.433,0.458,0.59,,,,,,,,,
Antigua and Barbuda,,,,,,0.768,0.806,,,,,,,,,,,,,,,,0.897,,,,,,,,,,,,,,,,1.11,1.02,1.08,1.09,,,1.2,0.941,,0.997,0.935,,
Argentina,0.678,0.69,,,,0.766,0.763,,,,,,,,,,,,,,,,,,,,0.916,0.898,0.977,0.969,0.972,0.966,1,0.98,0.964,0.945,0.971,0.998,1.03,1.03,1.04,1.04,1.04,1.02,1.04,1.03,1.03,1,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,0.888,1.01,0.922,0.928,1.01,1.05,,0.928,0.923,0.923,,0.968,0.936,0.9,0.915,0.902,0.933,
Austria,,0.943,0.961,0.962,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.01,,,1.01,,0.992,,,,,,,0.973,0.962,0.981,0.984,1.01,0.997,0.989,0.998,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.963,0.88,0.791,1.02,0.963,0.926,0.938,0.963,0.946,0.951,0.963,0.973,0.922,0.978,0.917,0.921,0.9,0.933,0.923,0.894,0.986,1.05,1.13,1.07,0.999,1,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.801,,,,,,1.02,0.982,0.986,0.92,0.899,0.821,0.88,0.908,0.794,0.801,0.834,0.775,,0.781,,
Bahrain,,,,,,,,,,,,,1.04,0.951,0.934,0.977,0.92,0.919,0.994,1.03,,1.01,1.01,1,0.928,0.913,0.901,,0.931,1.02,0.984,0.947,1,1,0.99,0.988,,,,,,0.872,0.929,0.96,0.97,0.974,0.963,0.986,0.965,1.03,
Bangladesh,,,,,,,0.589,,,,,0.355,,,,,,,,,,,,,,,,,,,,,,,,0.639,,,0.562,0.625,0.641,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972,1,1.06,1.03,1.06,1,0.908,0.972,0.923,0.936,0.939,0.932,0.973,,,,,,,0.876,0.887,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,0.968,0.998,0.981,0.97,0.978,,0.993,1.02,1.07,1.33,1.03,1.04,1.01,0.993,0.971,0.993,,,1.08,1.04,1,0.986,0.97,0.962,1.02,1.05,,
Belgium,,,,,0.668,0.689,0.698,0.709,0.745,0.667,0.662,0.724,0.733,0.69,0.724,0.709,0.698,0.691,0.707,,,0.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,0.943,,,0.889,0.963,,,0.998,1.03,0.996,,0.954,0.977,0.99,0.989,0.966,0.943,0.982,1.03,1.03,1.07,1.02,1.03,1.05,1.05,1.03,1.05,1.03,
Benin,,0.264,0.307,0.312,0.298,0.374,0.359,0.354,0.378,0.39,0.402,0.438,0.458,0.526,0.413,0.473,0.431,0.416,0.379,0.373,0.261,0.291,0.297,0.326,0.351,0.409,0.442,0.473,0.508,,0.494,0.541,0.566,0.608,0.631,,,,0.736,,0.75,0.791,0.803,0.855,0.852,0.86,0.853,,,0.676,
Bhutan,,,,,,,,,0.128,0.14,,,,,,,,,,,,,,0.275,0.312,,,,0.51,0.541,0.545,0.547,,,,,0.709,,0.753,0.771,0.817,0.863,0.97,0.945,0.907,,0.955,0.957,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.966,0.97,0.94,0.906,0.893,0.902,0.922,0.954,,
Botswana,0.42,0.46,0.526,,,,,,,0.538,,0.695,0.731,0.663,0.715,0.751,0.853,0.876,0.86,0.82,0.862,0.877,0.892,0.89,0.929,0.906,0.932,,0.96,0.936,0.944,0.96,0.975,0.968,0.96,0.938,0.982,0.961,0.976,1,,,0.995,0.99,,,,,,,
Brunei,,,1.07,1.07,1.11,1.02,1.13,1.06,0.968,1.02,0.924,0.899,0.841,0.8,0.602,,1.16,,,,,,,,,,,1.09,1.18,1.21,1.19,1.3,1.24,1.26,1.12,1.04,1.07,1.08,1.05,1.02,1.06,1.12,1.08,1.06,1,1.01,,1.08,1.08,0.989,
