country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,0.0436,,,0.0551,0.0636,,0.0905,0.128,,,0.107,0.109,,,,,,,,0.141,,,,,,,,,,,,,,,,,,,,,,,0.636,0.667,0.671,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,,,,0.975,0.972,,0.953,0.942,,,0.975,0.928,0.915,0.886,0.944,0.996,0.887,1.04,1,1.02,1.04,1.05,1.05,
Algeria,,,0.298,0.319,0.333,0.388,0.444,0.477,0.502,0.509,0.519,0.545,0.582,0.606,0.639,0.748,0.629,0.657,0.671,0.7,0.695,0.705,0.738,0.737,0.737,0.761,0.799,0.816,,0.815,0.799,0.86,0.879,0.892,0.915,0.927,0.826,0.952,1.07,0.927,0.954,0.973,1.01,1.06,1.09,1.05,1.06,1.06,1.06,1.02,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346,0.344,0.339,0.335,,,,,,,,,
Antigua and Barbuda,,,,,,0.805,0.794,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,1.1,1.01,1.05,0.982,,,1.02,0.91,,0.966,0.99,,
Argentina,0.742,0.747,,,,0.812,0.81,,,,,,,,,,,,,,,,,,,,0.943,0.933,1.01,0.975,0.975,0.971,1.01,0.984,0.967,0.948,0.971,1,1.03,1.03,1.03,1.04,1.03,1.01,1.03,1.02,1.04,0.997,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941,0.897,0.992,0.932,0.95,1.03,1.07,,0.965,0.955,0.957,,0.965,0.958,0.917,0.925,0.895,0.93,
Austria,,0.957,0.977,0.979,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.01,,,0.998,,0.983,,,,,,,0.962,0.972,0.971,0.99,0.999,0.996,1,0.998,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.981,0.916,0.951,0.859,0.973,0.945,0.918,0.855,0.94,1.01,0.902,0.949,0.896,0.909,0.985,0.897,0.914,0.89,0.922,0.916,0.865,0.976,1.02,1.1,1.08,1.01,1,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842,,,,,,1.02,0.935,0.941,0.925,0.911,0.827,0.914,0.879,0.79,0.801,0.87,0.773,,0.749,,
Bahrain,,,,,,,,,,,,,0.819,0.841,0.888,0.894,0.893,0.937,0.999,1.07,,1.05,1.01,0.988,0.965,0.967,0.941,,0.957,0.992,0.992,0.989,1.01,1,1.05,1.05,,,,,,0.92,0.936,0.929,0.963,1,1.03,1,0.993,0.973,
Bangladesh,,,,,,,0.296,,,,,0.221,,,,,,,,,,,,,,,,,,,,,,,,0.689,,,0.62,0.685,0.718,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.926,0.964,1.06,1.04,1.07,0.951,0.925,0.906,0.923,0.956,0.976,0.982,0.99,,,,,,,0.899,0.916,
